"filename", "language", "YAML", "Dart", "C++", "Markdown", "HTML", "JSON", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\modelli\production_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\modelli\states_data.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\modelli\utente_modello.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\modelli\variabili_globali.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\regexp.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\classes\tool.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\constants\controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\constants\spacer.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\constants\style.dart", "Dart", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 47, 29, 258
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\controllers\navigation_controller.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\helpers\local_navigator.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\helpers\responsivness.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\layout.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\main.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\autenticazione\autenticazione.dart", "Dart", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 218
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\impostazioni\impostazioni.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\operazioni_manuali.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 44
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_card.dart", "Dart", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 222
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_grid.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 90
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_group.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 124
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_icon.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 107
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_large.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_medium.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\operazioni_manuali_small.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\panoramica.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 44
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\info_card.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 37, 5, 101
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\info_card_small.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\panoramica_cards_large.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 144
