"filename", "language", "HTML", "Dart", "YAML", "C++", "Markdown", "JSON", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\classes\http\http_service.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 71
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\style.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\counterController.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\navigation_controller.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\global.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\manual_operation_data.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 80
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\overview_data.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\settings_parameters.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\states_data.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 47
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\local_navigator.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\responsivness.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 61
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\layout.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\main.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 61
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\authentication\authentication.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\manual_operations.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operation_card.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 110, 8, 275
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_group.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 144
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_large.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 69
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_medium.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_small.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\mechanical_group_icon.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 122
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\overview.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card_small.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_large.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_medium.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_small.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 71
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\settings\settings.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\states.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_datatable.dart", "Dart", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 209
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_large.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 110
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_medium.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_small.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 51
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\router.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 37
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\routes.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\custom_text.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\horizontal_menu_item.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 67
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\large_screen.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
