"filename", "language", "Dart", "YAML", "C++", "Markdown", "HTML", "Properties", "Groovy", "JSON", "XML", "Swift", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\classes\http\http_service.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 83
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\classes\http\tool.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\controllers.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\style.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\controllers\navigation_controller.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\config.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\manual_operation_data.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\overview_data.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\parameters_data.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 93
