"filename", "language", "Dart", "HTML", "JSON", "C++", "YAML", "Properties", "Groovy", "Markdown", "XML", "Swift", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_medium.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_small.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 71
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\settings\settings.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\states.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_datatable.dart", "Dart", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 209
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_large.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 88
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_medium.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_small.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 51
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\router.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 37
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\routes.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\screens\home.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
