"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card_small.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_large.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 152
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_medium.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_small.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\settings\settings.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\states.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 54
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_datatable.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 112, 25, 266
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_large.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 155
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_medium.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 156
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_small.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
